Site,Plot,Area Sampled (m2),Species,BD_cm,,,,,,,,,,
LBR,3,10,Salix,0.54,,,,,,,,,,
LBR,3,10,Salix,0.39,,,,,,,,,,
LBR,3,10,Salix,0.91,,,,,,,,,,
LBR,3,10,Salix,0.9,,,,,,,,,,
LBR,3,10,Salix,0.28,,,,,,,,,,
LBR,3,10,Salix,0.29,,,,,,,,,,
LBR,3,10,Salix,1.06,,,,,,,,,,
LBR,3,10,Salix,1,,,,,,,,,,
LBR,3,10,Salix,0.45,,,,,,,,,,
LBR,3,10,Salix,0.15,,,,,,,,,,
LBR,3,10,Salix,1.6,,,,,,,,,,
LBR,3,10,Salix,0.7,,,,,,,,,,
LBR,3,10,Salix,0.55,,,,,,,,,,
LBR,3,10,Salix,0.3,,,,,,,,,,
LBR,3,10,Salix,1.04,,,,,,,,,,
LBR,3,10,Salix,1.11,,,,,,,,,,
LBR,3,10,Salix,0.32,,,,,,,,,,
LDF1,1,5,Betula,0.82,,,,,,,,,,
LDF1,1,5,Betula,0.48,,,,,,,,,,
LDF1,1,5,Betula,1.04,,,,,,,,,,
LDF1,1,5,Betula,1.16,,,,,,,,,,
LDF1,1,5,Betula,0.64,,,,,,,,,,
LDF1,1,5,Betula,1.33,,,,,,,,,,
LDF1,1,5,Salix,0.74,,,,,,,,,,
LDF1,1,5,Betula,1.5,,,,,,,,,,
LDF1,1,5,Betula,0.77,,,,,,,,,,
LDF1,1,5,Betula,1.57,,,,,,,,,,
LDF1,1,5,Betula,1.01,,,,,,,,,,
LDF1,1,5,Betula,0.56,,,,,,,,,,
LDF1,1,5,Betula,1.32,,,,,,,,,,
LDF1,1,5,Betula,1.8,,,,,,,,,,
LDF1,1,5,Salix,0.68,,,,,,,,,,
LDF1,1,5,Betula,0.71,,,,,,,,,,
LDF1,1,5,Salix,0.36,,,,,,,,,,
LDF1,1,5,Betula,0.76,,,,,,,,,,
LDF1,1,5,Betula,0.6,,,,,,,,,,
LDF1,1,5,Salix,1.09,,,,,,,,,,
LDF1,1,5,Betula,0.49,,,,,,,,,,
LDF1,1,5,Betula,0.76,,,,,,,,,,
LDF1,1,5,Betula,0.6,,,,,,,,,,
LDF1,1,5,Betula,0.64,,,,,,,,,,
LDF1,1,5,Betula,0.79,,,,,,,,,,
LDF1,1,5,Betula,0.79,,,,,,,,,,
LDF1,1,5,Betula,0.49,,,,,,,,,,
LDF1,1,5,Betula,0.3,,,,,,,,,,
LDF1,1,5,Betula,0.21,,,,,,,,,,
LDF1,1,5,Betula,0.34,,,,,,,,,,
LDF1,1,5,Betula,0.46,,,,,,,,,,
LDF1,1,5,Betula,0.47,,,,,,,,,,
LDF1,1,5,Betula,0.34,,,,,,,,,,
LDF1,1,5,Betula,0.15,,,,,,,,,,
LDF1,1,5,Betula,0.29,,,,,,,,,,
LDF1,1,5,Betula,0.2,,,,,,,,,,
LDF1,1,5,Betula,0.57,,,,,,,,,,
LDF1,1,5,Betula,0.14,,,,,,,,,,
LDF1,1,5,Betula,0.16,,,,,,,,,,
LDF1,1,5,Betula,0.26,,,,,,,,,,
LDF1,1,5,Betula,0.17,,,,,,,,,,
LDF1,1,5,Betula,0.06,,,,,,,,,,
LDF1,1,5,Betula,0.96,,,,,,,,,,
LDF1,1,5,Betula,0.75,,,,,,,,,,
LDF1,1,5,Betula,0.54,,,,,,,,,,
LDF1,1,5,Betula,0.4,,,,,,,,,,
LDF1,1,5,Betula,0.24,,,,,,,,,,
LDF1,1,5,Betula,0.42,,,,,,,,,,
LDF1,1,5,Betula,0.24,,,,,,,,,,
LDF1,1,5,Betula,0.45,,,,,,,,,,
LDF1,1,5,Betula,0.59,,,,,,,,,,
LDF1,1,5,Betula,0.32,,,,,,,,,,
LDF1,1,5,Betula,0.32,,,,,,,,,,
LDF1,1,5,Betula,0.28,,,,,,,,,,
LDF1,1,5,Betula,0.13,,,,,,,,,,
LDF1,1,5,Betula,0.29,,,,,,,,,,
LDF1,1,5,Betula,0.72,,,,,,,,,,
LDF1,1,5,Betula,0.09,,,,,,,,,,
LDF1,1,5,Betula,0.51,,,,,,,,,,
LDF1,1,5,Betula,0.49,,,,,,,,,,
LDF1,1,5,Betula,0.55,,,,,,,,,,
LDF1,1,5,Betula,0.29,,,,,,,,,,
LDF1,1,5,Betula,0.55,,,,,,,,,,
LDF1,1,5,Betula,0.6,,,,,,,,,,
LDF1,1,5,Betula,0.34,,,,,,,,,,
LDF1,1,5,Betula,0.36,,,,,,,,,,
LDF1,1,5,Betula,0.63,,,,,,,,,,
LDF1,1,5,Betula,0.34,,,,,,,,,,
LDF1,1,5,Betula,0.31,,,,,,,,,,
LDF1,1,5,Betula,0.3,,,,,,,,,,
LDF1,1,5,Betula,0.56,,,,,,,,,,
LDF1,1,5,Betula,0.63,,,,,,,,,,
LDF1,1,5,Betula,0.71,,,,,,,,,,
LDF1,1,5,Betula,0.36,,,,,,,,,,
LDF1,1,5,Betula,0.19,,,,,,,,,,
LDF1,1,5,Betula,0.4,,,,,,,,,,
LDF1,1,5,Betula,0.57,,,,,,,,,,
LDF1,1,5,Betula,0.81,,,,,,,,,,
LDF1,1,5,Betula,0.43,,,,,,,,,,
LDF1,1,5,Betula,0.07,,,,,,,,,,
LDF1,1,5,Betula,0.34,,,,,,,,,,
LDF1,1,5,Betula,0.3,,,,,,,,,,
LDF1,1,5,Betula,0.21,,,,,,,,,,
LDF1,1,5,Betula,0.05,,,,,,,,,,
LDF1,1,5,Betula,0.3,,,,,,,,,,
LDF1,1,5,Betula,0.31,,,,,,,,,,
LDF1,1,5,Betula,0.18,,,,,,,,,,
LDF1,1,5,Betula,0.32,,,,,,,,,,
LDF1,1,5,Betula,0.18,,,,,,,,,,
